#,mpd,"is a lightweight music daemon." ## removed because mopidy has an mpd
#,xorg-xbacklight,"enables changing screen brightness levels."
#A,mopidy-gmusic, "is a mopidy addon for compatibility with Google Play Music" # is now installed via pip
#A,python-ueberzug,"generates image previews in vifm and other terminal programs."
#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,abook,"is a Address book for neomutt"
,arandr,"is a UI for screen adjustment."
,atool,"manages and gives information about archives."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,cronie,"is a crontab service"
,docx2txt,"enables .docx file previews in vifm."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,ed,"is the standard editor!"
,exfat-utils,"allows management of FAT drives."
,ffmpeg,"can record and splice video and audio on the command line."
,firefox,"is the only program on TARBS your girlfriend has ever heard of."
,fzf,"is a fuzzy finder tool."
,gnome-keyring,"serves as the system keyring."
,gnome-themes-standard, "is downloaded to deal with warning messages from inkscape"
,highlight,"can highlight code output."
,hledger,"gives you power over your own economy"
,i3-gaps,"is the main graphical user interface and window manager."
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in TARBS."
,inkscape, "is a vector graphics editor."
,jdk8-openjdk,"is used for development and properly viewing office documents"
,keepassxc,"is a password manager with cli interface."
,libnotify,"allows desktop notifications."
,libreoffice, "is a suite to read office type documents"
,light, "is a tool used to change the brightness of the screen"
,lightdm,"is for the custom login screen."
,lightdm-gtk-greeter,"is for the custom login screen"
,lightdm-webkit-theme-litarvan,"is the login screen theme compiled from HTML/CSS/JS"
,maim,"can take quick screenshots at your request."
,mediainfo,"shows audio and video information."
,mopidy, " is a music server with integrated https and mpd servers"
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video/gif player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,neomutt,"is a Command line email client based on classic mutt. It has a sidebar!"
,neovim,"an tidier vim with some useful features"
,networkmanager,"does exactly what it sounds like."
,newsboat,"is a terminal RSS client."
,ntfs-3g,"allows accessing NTFS partitions."
,odt2txt,"enables .odt file previews in vifm."
,openvpn,"is a tool for connecting to VPNs."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,python-pip,"is a downloader for python apps."
,qutebrowser, "is a lightweight browser without the need of a cursor!"
,ranger,"is a program to browse your file system"
,redshift,"is a program to filter the blue light to let you sleep at night."
,rlwrap, "is a wrapper for 'read' used for tab-complete/history notmuch search in mutt."
,socat,"is a socket utility."
,sxiv,"is a minimalist image viewer."
,tmux,"is a terminal multiplexer and the dropdown window in TARBS."
,tree,"lists directory contents like trees. Used by vifm."
,ttf-inconsolata,"is the monospace font of TARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for TARBS."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,w3m,"is a terminal browser which can also view images."
,wget,"is a tool to download stuff."
,xautolock,"Lets you lock the screen after inactivity"
,xcape,"gives the special escape/super mappings of TARBS."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xdotool,"provides window action utilities on the command line."
,xorg-server,"is the graphical server."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,google-chrome,"is for general web browsing."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in TARBS."
A,htop-vim-git,"provides system usage information and displays processes."
A,mutt-wizard-git, "is a tool by Luke Smith to configure mutt quickly and easily!"
A,netbeans-javase, "for programming in java"
A,sc-im,"is an Excel-like terminal spreadsheet manager. Useful for simple, lightweight CSV editing."
A,simple-mtpfs,"enables the mounting of cell phones."
A,task-spooler,"queues commands or files for download."
A,ttf-joypixels,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere." # Formerly ttf-emojione
A,ttf-symbola,"provides unicode and emoji symbols."
A,unclutter-xfixes-git,"hides an inactive mouse after X seconds."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
A,urlview, "parses URLs for neomutt"
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is Luke's custom build of suckless's terminal emulator."
P,Mopidy-GMusic,"is a mopidy extension for Google Music."
P,Mopidy-MPD,"is a mpd frontend for mopidy."
